,model_name,fold,ACSA,recall,CM,f1_score,training_time,inference_time,error_rate,train_accuracy,test_accuracy,precision
0,KNN,fold_0,0.9743734672853743,0.9737991266375546,"[[467  12]
 [ 12 446]]",0.9737991266375546,0.09583783149719238,0.12507247924804688,0.025613660618996836,0.9869498161110452,0.9743863393810032,0.9737991266375546
1,KNN,fold_1,0.9708590495118105,0.9563318777292577,"[[472   7]
 [ 20 438]]",0.9700996677740863,0.09173846244812012,0.11669182777404785,0.028815368196371427,0.9863566259342745,0.9711846318036286,0.9842696629213483
2,KNN,fold_2,0.9622211484989653,0.9432314410480349,"[[470   9]
 [ 26 432]]",0.9610678531701891,0.08333778381347656,0.12520790100097656,0.03735325506937037,0.9882548344999407,0.9626467449306296,0.9795918367346939
3,KNN,fold_3,0.9633607132763855,0.9475982532751092,"[[469  10]
 [ 24 434]]",0.9623059866962307,0.0999143123626709,0.14249420166015625,0.036286019210245435,0.9878989203938783,0.9637139807897546,0.9774774774774775
4,KNN,fold_4,0.9569062183770773,0.9388646288209607,"[[467  12]
 [ 28 430]]",0.9555555555555555,0.09762787818908691,0.13472628593444824,0.042689434364994616,0.98766164432317,0.9573105656350054,0.9728506787330317
5,KNN,fold_5,0.9753694469008396,0.9716157205240175,"[[469  10]
 [ 13 445]]",0.9748083242059147,0.09194421768188477,0.11700010299682617,0.0245464247598719,0.9873057302171077,0.9754535752401281,0.978021978021978
6,KNN,fold_6,0.9666861577959187,0.9584245076586433,"[[467  12]
 [ 19 438]]",0.9658213891951489,0.08359980583190918,0.12391042709350586,0.03311965811965811,0.9880189798339265,0.9668803418803419,0.9733333333333334
7,KNN,fold_7,0.9654413141893898,0.949671772428884,"[[470   9]
 [ 23 434]]",0.9644444444444443,0.09966373443603516,0.1247246265411377,0.03418803418803418,0.9882562277580071,0.9658119658119658,0.9796839729119639
8,KNN,fold_8,0.9732507092182382,0.9715536105032823,"[[467  12]
 [ 13 444]]",0.972617743702081,0.08339810371398926,0.11673951148986816,0.026709401709401726,0.9860023724792408,0.9732905982905983,0.9736842105263158
9,KNN,fold_9,0.9663846543903007,0.9452954048140044,"[[473   6]
 [ 25 432]]",0.9653631284916202,0.09117245674133301,0.1251535415649414,0.03311965811965811,0.9879003558718861,0.9668803418803419,0.9863013698630136
