,model_name,fold,ACSA,recall,CM,f1_score,training_time,inference_time,error_rate,train_accuracy,test_accuracy,precision
70,MLP,fold_0,0.9691740620744707,0.9759825327510917,"[[358  14]
 [ 11 447]]",0.9727965179542982,34.72741651535034,0.0052340030670166016,0.030120481927710885,0.9899477281865702,0.9698795180722891,0.9696312364425163
71,MLP,fold_1,0.9630832215712571,0.9584245076586433,"[[360  12]
 [ 19 438]]",0.9658213891951489,35.232993841171265,0.008003711700439453,0.03739445114595896,0.9886089520235861,0.962605548854041,0.9733333333333334
72,MLP,fold_2,0.9642714289075551,0.9715536105032823,"[[356  16]
 [ 13 444]]",0.9683751363140676,28.387856483459473,0.002169370651245117,0.0349819059107358,0.9892790136692575,0.9650180940892642,0.9652173913043478
73,MLP,fold_3,0.9580509870355992,0.9671772428884027,"[[353  19]
 [ 15 442]]",0.962962962962963,33.54495334625244,0.008028507232666016,0.04101326899879376,0.9915572232645403,0.9589867310012062,0.9587852494577006
74,MLP,fold_4,0.9641773134749771,0.9606126914660832,"[[360  12]
 [ 18 439]]",0.9669603524229076,29.136745929718018,0.007603168487548828,0.03618817852834744,0.9892790136692575,0.9638118214716526,0.9733924611973392
75,MLP,fold_5,0.9588536823644346,0.9716157205240175,"[[351  20]
 [ 13 445]]",0.9642470205850487,38.27766680717468,0.0,0.039806996381182125,0.9907531492897347,0.9601930036188179,0.956989247311828
76,MLP,fold_6,0.969123341847244,0.9759825327510917,"[[357  14]
 [ 11 447]]",0.9727965179542982,33.28225636482239,0.004444599151611328,0.030156815440289475,0.9910211739480033,0.9698431845597105,0.9696312364425163
77,MLP,fold_7,0.9729104626937699,0.9781659388646288,"[[359  12]
 [ 10 448]]",0.9760348583877995,31.769971132278442,0.0160214900970459,0.026537997587454787,0.9896810506566605,0.9734620024125452,0.9739130434782609
78,MLP,fold_8,0.976953589378406,0.9781659388646288,"[[362   9]
 [ 10 448]]",0.9792349726775956,39.85676836967468,0.008227825164794922,0.022919179734619988,0.9899490753149289,0.97708082026538,0.9803063457330415
79,MLP,fold_9,0.9621287915347403,0.9781659388646288,"[[351  20]
 [ 10 448]]",0.9676025917926566,31.650757789611816,0.007513761520385742,0.03618817852834744,0.9898150629857947,0.9638118214716526,0.9572649572649573
